"Notes"	"County"	"County Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Baldwin County, AL"	"01003"	26126	3250.291	589.325	27.270	5.854	38.369	2.596	38.170	2.110
	"Calhoun County, AL"	"01015"	16507	3194.651	596.716	25.835	5.532	38.174	2.767	38.264	2.109
	"Etowah County, AL"	"01055"	13883	3236.735	601.916	25.732	5.572	38.553	2.791	38.400	2.150
	"Houston County, AL"	"01069"	6479	3201.889	612.153	26.857	5.545	38.340	2.789	38.322	2.171
	"Jefferson County, AL"	"01073"	106761	3162.781	634.699	27.414	5.814	38.260	2.937	38.216	2.477
	"Lee County, AL"	"01081"	20566	3268.322	593.497	27.340	5.569	38.639	2.507	38.568	2.101
	"Madison County, AL"	"01089"	49513	3194.773	606.898	27.743	5.749	38.240	2.607	38.099	2.189
	"Mobile County, AL"	"01097"	68171	3136.495	630.901	26.299	5.733	38.091	2.941	37.983	2.456
	"Montgomery County, AL"	"01101"	37924	3104.438	629.138	26.551	5.868	38.123	2.923	37.997	2.469
	"Morgan County, AL"	"01103"	16728	3218.238	583.656	26.316	5.647	38.385	2.563	38.167	2.071
	"Shelby County, AL"	"01117"	28575	3291.082	590.655	28.977	5.519	38.485	2.509	38.423	2.055
	"Tuscaloosa County, AL"	"01125"	28892	3165.310	644.191	26.792	5.584	38.226	2.947	38.053	2.483
	"Unidentified Counties, AL"	"01999"	285490	3191.572	608.235	25.910	5.547	38.298	2.765	38.164	2.211
	"Anchorage Borough, AK"	"02020"	51782	3368.282	583.206	27.973	5.799	38.783	2.385	38.645	2.014
	"Unidentified Counties, AK"	"02999"	75924	3433.004	587.883	27.223	5.734	38.855	2.367	38.720	2.012
	"Cochise County, AZ"	"04003"	18786	3236.497	558.263	26.581	5.713	38.714	2.373	38.645	2.029
	"Coconino County, AZ"	"04005"	19955	3234.311	552.874	27.231	6.039	38.637	2.504	38.583	1.966
	"Maricopa County, AZ"	"04013"	645428	3291.668	570.341	27.827	6.016	38.566	2.448	38.461	2.077
	"Mohave County, AZ"	"04015"	23379	3260.907	548.951	26.288	5.770	38.661	2.570	38.390	1.938
	"Navajo County, AZ"	"04017"	7376	3218.736	566.711	26.778	5.946	38.543	2.652	38.433	2.029
	"Pima County, AZ"	"04019"	140568	3270.759	558.282	27.400	5.966	38.582	2.424	38.499	1.981
	"Pinal County, AZ"	"04021"	55900	3322.493	578.036	27.129	5.739	38.606	2.428	38.530	2.045
	"Yavapai County, AZ"	"04025"	22791	3245.093	555.362	26.824	5.961	38.659	2.527	38.568	2.011
	"Yuma County, AZ"	"04027"	37025	3333.765	573.519	26.161	5.822	38.750	2.603	38.647	2.100
	"Unidentified Counties, AZ"	"04999"	51429	3247.026	560.651	26.019	6.045	38.594	2.620	38.488	2.059
	"Benton County, AR"	"05007"	38828	3302.365	582.132	27.659	5.653	38.645	2.403	38.401	2.013
	"Faulkner County, AR"	"05045"	7475	3306.505	586.537	27.245	5.316	38.620	2.606	38.434	1.959
	"Pulaski County, AR"	"05119"	65590	3178.011	620.080	27.066	5.807	38.441	2.747	38.228	2.350
	"Saline County, AR"	"05125"	6480	3279.128	604.377	27.858	5.373	38.927	2.760	38.321	2.139
