"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"2006 Urbanization"	"2006 Urbanization Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Medium Metro"	"3"	124620	3306.453	588.219	30.910	5.912	38.761	2.326	38.634	2.093
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Large Central Metro"	"1"	115535	3255.163	610.276	29.168	5.938	38.611	2.559	38.440	2.346
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Large Fringe Metro"	"2"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Micropolitan (Nonmetro)"	"5"	18092	3333.088	588.202	30.028	5.642	38.815	2.323	38.618	2.056
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"NonCore (Nonmetro)"	"6"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Large Central Metro"	"1"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Large Fringe Metro"	"2"	17109	3347.808	583.052	30.699	5.444	38.835	2.238	38.673	2.022
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Medium Metro"	"3"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Small Metro"	"4"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	"Census Region 1: Northeast"	"CENS-R1"	"Middlesex County, CT"	"09007"	"Micropolitan (Nonmetro)"	"5"	Suppressed	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
