"","id","citypath","introtext","cityname","city_latitude","city_longitude","scheme_color","lez","urb_toll","other_reg","em_scheme"
"1","1213","",NA,"Sassari",40.8,8.58,NA,NA,NA,NA,NA
"2","499","http://urbanaccessregulations.eu/countries-mainmenu-147/italy-mainmenu-81/sicilia-region/palermo","The combined low emission zone, road charge, congestion charge and ZTL scheme has been in operation since 10 October 2016.
","Palermo",38.11,13.36,"2",FALSE,TRUE,FALSE,FALSE
"3","490","https://urbanaccessregulations.eu/countries-mainmenu-147/italy-mainmenu-81/milan-area-c-charging-scheme","<p>
	There are several schemes in Milan:</p>

<ul>
	<li>
		<strong>NEW!</strong>&nbsp;<a href=""/countries-mainmenu-147/italy-mainmenu-81/milano-lez-area-b"">Area B</a> is a Low Emission Zone that will be activated the <strong>25 February 2019</strong>. It will cover the entire city of Milan.</li>
	<li>
		<a class=""new-window nturl"" href=""/countries-mainmenu-147/italy-mainmenu-81/milan-area-c-charging-scheme"" title=""Milan C"">Milan C</a>&nbsp;is a combined Low Emission Zone and urban road charging scheme</li>
	<li>
		<a class=""new-window nturl"" href=""/countries-mainmenu-147/italy-mainmenu-81/milano-ar"" title=""Milan - AR"">Milan - AR</a>, an Access Regulation</li>
	<li>
		<a class=""new-window nturl"" href=""/countries-mainmenu-147/italy-mainmenu-81/lombardia/como"" title=""Milan province"">Milan province</a>, the Low Emission Zones of the four provinces of Milan, Como, Varese and Lecco merge to give a &#39;paw print&#39; shaped LEZ (see <a class=""new-window nturl"" href=""http://urbanaccessregulations.eu/countries-mainmenu-147/italy-mainmenu-81/lombardia/milano"" title=""Milan Province"">Milan Province</a>).</li>
	<li>
		short term restrictions are possible, particularly in the winter <a href=""/countries-mainmenu-147/italy-mainmenu-81/lombardia/como"" title=""See the Milan LEZ page"">See the Milan LEZ page</a>. To find out if scheme is operational go <a href=""https://inlinea.cittametropolitana.mi.it/dati_ambientali/pm10/"" target=""_blank"" title=""Milan website about PM10 air pollution"">here</a>.</li>
	<li>
		<a class=""new-window nturl"" href=""/countries-mainmenu-147/italy-mainmenu-81/milan-area-c-charging-scheme"" title=""Milan C"">Milan C</a> now substitutes the <a class=""new-window nturl"" href=""/ecopass"" title=""Milan ecopass"">Milan ecopass</a> that is no longer in operation.</li>
</ul>

<p>
	Emilia Romagna, Lombardia, Piemonte and Veneto have a&nbsp;<a href=""/countries-mainmenu-147/italy-mainmenu-81/322-key-access-regulations/italy-access-regulations/2061-winter-emergency-measures-in-emilia-romagna-lombardia""><b>winter emergency scheme</b></a> in place from 1 October - 31 March.</p>

<p>
	&nbsp;</p>
","Milano LEZ & CS",45.47,9.19,"2",FALSE,TRUE,FALSE,FALSE
"4","1469","http://urbanaccessregulations.eu/countries-mainmenu-147/united-kingdom-mainmenu-205/mersey-river-crossings-tunnel-toll","<p>
	There are different options to cross the river Mersey in Liverpool:</p>

<ul>
	<li>
		via Mersey Gateway (bridge)</li>
	<li>
		via Silver Jubilee Bridge&nbsp;(is closed for refurbishment until end of 2018)</li>
	<li>
		through the Mersey Tunnels (Kingsway: Liverpool to Wallasey, Queensway: Liverpool to Birkenhead)</li>
</ul>

<p>
	&nbsp;</p>

<p>
	&nbsp;</p>
","Mersey River Crossings - CS",53.4,-2.99,"2",FALSE,TRUE,FALSE,FALSE
"5","812","http://urbanaccessregulations.eu/countries-mainmenu-147/united-kingdom-mainmenu-205/london-charging-scheme","UK-LO","London - CS",51.51,-0.13,"2",FALSE,TRUE,FALSE,FALSE
"6","813","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/trondheim-charging-scheme","In addition, a seperate 'Low Emission Zone' is being considered for <a title=""LEZ"" class=""new-window nturl"" href=""http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/trondheim"">Trondheim</a>.
","Trondheim - CS",63.44,10.39,"2",FALSE,TRUE,FALSE,FALSE
"7","815","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/oslo-charging-scheme","<p>
	Since the end of 2016 the implementation of low emission zones is legally possible in Norway.</p>

<p>
	A low emission zone has been implemented through the already existing congestion charging scheme 1st October 2017.</p>

<p>
	The congestion charge differentiates by environmental standard (Euro standard), fuel type, time, distance and if you have an AutoPASS.</p>

<p>
	Oslo also has&nbsp;an&nbsp;<a href=""/countries-mainmenu-147/norway-mainmenu-197/oslo-emergency-scheme"" title=""Oslo emergency scheme"">emergency scheme</a>&nbsp;&nbsp;in cases of high pollution.</p>

<p>
	<br />
	Oslo is also implementing measures to remove cars from the city centre by 2019 and improve the quality of the city centre. This is being done by removing parking spaces and making more space for cycling and public spaces, and has already started.</p>
","Oslo - LEZ - CS",59.91,10.75,"2",FALSE,TRUE,FALSE,FALSE
"8","817","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/bergen-charging-scheme","Bergen has a combined low emission zone and road tolling scheme, where vehicles are charged more during rush hour, or if they are more polluting.</p>

<p>
	There is also an <a href=""/countries-mainmenu-147/norway-mainmenu-197/bergen-odd-even-scheme"" title=""Charging Scheme"">emergency scheme</a> that is in operation during high pollution events.","Bergen - CS",60.39,5.32,"2",FALSE,TRUE,FALSE,FALSE
"9","818","http://urbanaccessregulations.eu/countries-mainmenu-147/united-kingdom-mainmenu-205/durham-charging-scheme","Durham has an access regulation scheme.","Durham - CS",54.78,-1.58,"2",FALSE,TRUE,FALSE,FALSE
"10","822","http://urbanaccessregulations.eu/countries-mainmenu-147/malta/valetta-charging-scheme","The road charging scheme is cordon based. The vehicle is charged when crossing into the area, enforced with cameras at the entrance of the scheme.","Valletta - CS",35.9,14.5,"2",FALSE,TRUE,FALSE,FALSE
"11","826","http://urbanaccessregulations.eu/countries-mainmenu-147/sweden-mainmenu-248/goeteborg-charging-scheme","Göteborg also has a <a title=""LEZ"" class=""new-window nturl"" href=""http://urbanaccessregulations.eu/countries-mainmenu-147/sweden-mainmenu-248/goteborg"">Low Emission Zone</a> in place.","Göteborg (Gothenberg) - CS",57.71,11.97,"2",FALSE,TRUE,FALSE,FALSE
"12","827","http://urbanaccessregulations.eu/countries-mainmenu-147/sweden-mainmenu-248/stockholm-charging-scheme","<p>
	Stockholm also has various schmes in place:</p>

<ul>
	<li>
		a <a href=""/countries-mainmenu-147/sweden-mainmenu-248/stockholm"">low emission zone</a></li>
	<li>
		a <a class=""new-window nturl"" href=""http://urbanaccessregulations.eu/countries-mainmenu-147/sweden-mainmenu-248/stockholm-charging-scheme"" title=""Charging Scheme"">charging scheme</a></li>
	<li>
		and <a href=""/countries-mainmenu-147/sweden-mainmenu-248/stockholm-lorry-regulations"">lorry regulations</a>&nbsp;</li>
</ul>
","Stockholm - CS",59.33,18.06,"2",FALSE,TRUE,FALSE,FALSE
"13","871","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/kristiansand-charging-scheme","NO-CS","Kristiansand - CS",58.15,8,"2",FALSE,TRUE,FALSE,FALSE
"14","872","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/stavanger-charging-scheme","NO-CS","Stavanger - CS",58.97,5.73,"2",FALSE,TRUE,FALSE,FALSE
"15","873","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/namsos-charging-scheme","NO-CS","Namsos - CS",64.47,11.5,"2",FALSE,TRUE,FALSE,FALSE
"16","874","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/tonsberg-charging-scheme","NO-CS","Tonsberg - CS",59.27,10.41,"2",FALSE,TRUE,FALSE,FALSE
"17","876","http://urbanaccessregulations.eu/countries-mainmenu-147/norway-mainmenu-197/haugesund-charging-scheme","In Norway is a charging scheme in place.","Haugesund - CS",59.41,5.27,"2",FALSE,TRUE,FALSE,FALSE
"18","1683","/countries-mainmenu-147/latvia/jurmala-cs","","Jurmala - CS",56.95,23.62,"2",FALSE,TRUE,FALSE,FALSE
"19","1514","http://urbanaccessregulations.eu/countries-mainmenu-147/united-kingdom-mainmenu-205/dartford-charging-scheme","UK-LO
","Dartford - Charging Scheme",51.46,0.25,"2",FALSE,TRUE,FALSE,FALSE
"20","1703","http://urbanaccessregulations.eu/countries-mainmenu-147/netherlands-mainmenu-88/delft","","Delft - carfree",52.02,4.36,"2",FALSE,TRUE,FALSE,FALSE
